Player Name,Team,"Injury
Risk","Career
Injuries","Injuries
Per Season","Injury Risk
Per Season","Injury Risk
Per Game",Durability,"PPR
Points","Projected
Games
Missed"
MarShawn Lloyd,GB,Very Low Risk,4,4.0/yr,21.00%,1.40%,5,81,1
Kendre Miller,NO,High Risk,7,3.5/yr,62.00%,5.50%,4.4,81,2.4
Braelon Allen,NYJ,Low Risk,3,3.0/yr,34.50%,2.50%,5,81,1.2
Miles Sanders,DAL,Medium Risk,12,2.0/yr,42.20%,3.20%,5,80,1.1
Elijah Mitchell,KC,Very High Risk,12,3.0/yr,90.90%,13.20%,1.6,80,3.2
Antonio Gibson,NE,Very High Risk,8,1.6/yr,81.00%,9.30%,5,72,2.9
Kenneth Gainwell,PIT,Very Low Risk,2,0.5/yr,21.20%,1.40%,5,70,1.1
Will Shipley,PHI,Low Risk,3,3.0/yr,29.20%,2.00%,5,66,1.1
Ty Johnson,BUF,Very Low Risk,3,0.5/yr,21.00%,1.40%,5,64,2.1
Raheem Mostert,LVR,Very High Risk,15,1.7/yr,88.80%,12.10%,1.8,63,2.9
Gus Edwards,UNS,Medium Risk,7,1.0/yr,49.80%,4.00%,1.8,61,1.4
Devin Singletary,NYG,Low Risk,2,0.3/yr,38.50%,2.80%,5,60,1.8
Jaleel McLaughlin,DEN,Very Low Risk,1,0.5/yr,21.00%,1.40%,5,60,0.5
Emari Demercado,ARI,Very Low Risk,0,0.0/yr,17.60%,1.10%,5,58,0.3
Alexander Mattison,MIA,Low Risk,6,1.0/yr,33.50%,2.40%,5,56,0.8
Cam Akers,NO,Very Low Risk,5,1.0/yr,20.30%,1.30%,1.9,47,1.5
A.J. Dillon,PHI,Low Risk,8,1.6/yr,33.60%,2.40%,5,45,1
Audric Estime,DEN,Very Low Risk,2,2.0/yr,20.90%,1.40%,5,41,1
Clyde Edwards-Helaire,NO,Low Risk,7,1.4/yr,39.80%,2.90%,3.3,40,0.7
Keaton Mitchell,BAL,Low Risk,1,0.5/yr,29.20%,2.00%,5,39,1.6
Cordarrelle Patterson,UNS,Low Risk,12,1.0/yr,34.60%,2.50%,5,39,1.3
Khalil Herbert,IND,Very High Risk,4,0.8/yr,81.80%,9.50%,5,32,3.4
Michael Carter,ARI,Low Risk,4,1.0/yr,29.60%,2.00%,5,31,0.8
Pierre Strong Jr.,CLE,Low Risk,7,1.8/yr,29.20%,2.00%,5,31,1.1
Dameon Pierce,HOU,Low Risk,4,1.0/yr,35.00%,2.50%,4.3,30,1
Ty Chandler,MIN,Low Risk,1,0.3/yr,29.20%,2.00%,5,29,1.3
Jamaal Williams,UNS,Low Risk,11,1.4/yr,37.60%,2.70%,5,28,1
Chris Rodriguez,WAS,Low Risk,1,0.5/yr,38.30%,2.80%,5,28,1.1
Zamir White,LVR,Low Risk,5,1.3/yr,29.50%,2.00%,2.9,23,0.8
Dylan Laube,LVR,Very Low Risk,0,0.0/yr,17.40%,1.10%,5,13,0.8
Hassan Haskins,LAC,Very Low Risk,2,0.5/yr,22.20%,1.50%,5,12,0.5
Kene Nwangwu,NYJ,Very Low Risk,0,0.0/yr,13.60%,0.90%,5,4,0.4
Zack Moss,UNS,Very High Risk,10,2.0/yr,68.70%,6.60%,4.5,0,2.6
